Aakash Institute,Duration,Duration,Date,Aakash_Institute
Bajaj Allianz,Attempt,Attempt,Call Start Time,Bajaj_Allianz
Bajaj Capital,Duration,Duration,Date,Bajaj_Capital
CESC Kolkata,Duration,Duration,call_start_time,CESC_Kolkata
D2H Chennai,Call Duration,Call Duration,Call Date,D2H_Chennai
D2H IB Noida,Call Duration,Call Duration,Call Date,D2H_IB_Noida
Dish Chennai,Call Duration,Call Duration,Call Date,Dish_Chennai
DISH IB,Call Duration,Call Duration,Call Date,DISH_IB
EDCIL,Talk Time,Talk Time,Start Time,EDCIL
Go Noise IB,Customer Hold Duration,Customer Hold Duration,Call Time,Go_Noise_IB
Go Noise OB,call_talktime,call_talktime,call_start_time,Go_Noise_OB
HDFC,lead_Attempt,lead_Attempt,Date,HDFC
JIO,Duration,Duration,Date,JIO
MOT,Talk Time,Talk Time,Start Time,MOT
Qurex,Duration,Duration,Date,Qurex
RBI,Duration,Duration,Call Start Time,RBI
S C JOHNSON,Total Talktime,Total Talktime,Date Time,S_C_JOHNSON
SBI Card,Talk_Duration,Talk_Duration,Date,SBI_Card
Unicef,Duration,Duration,Date,Unicef
ZET Inbound,Duration,Duration,Date,ZET_Inbound
ZET Inbound Partner,Duration,Duration,Date,ZET_Inbound_Partner
ZET Outbound,Duration,Duration,Date,ZET_Outbound